"quantidade","valor_unitario","produto","uf"
"9","6.3586554527282715","Biscoito salgado","AC"
"19.010101318359375","6.354420185089111","Biscoito salgado","AC"
"29.02020263671875","6.350184917449951","Biscoito salgado","AC"
"39.030303955078125","6.345952033996582","Biscoito salgado","AC"
"49.0404052734375","6.34171724319458","Biscoito salgado","AC"
"59.05050277709961","6.33748197555542","Biscoito salgado","AC"
"69.06060791015625","6.333245277404785","Biscoito salgado","AC"
"79.0707015991211","6.3290114402771","Biscoito salgado","AC"
"89.080810546875","6.324777126312256","Biscoito salgado","AC"
"99.09091186523438","6.320542335510254","Biscoito salgado","AC"
"109.10101318359375","6.31630802154541","Biscoito salgado","AC"
"119.11112213134766","6.312073230743408","Biscoito salgado","AC"
"129.1212158203125","6.307837963104248","Biscoito salgado","AC"
"139.13133239746094","6.3036041259765625","Biscoito salgado","AC"
"149.14141845703125","6.299370765686035","Biscoito salgado","AC"
"159.15151977539062","6.295134544372559","Biscoito salgado","AC"
"169.16162109375","6.290901184082031","Biscoito salgado","AC"
"179.1717071533203","6.286665916442871","Biscoito salgado","AC"
"189.1818084716797","6.282431602478027","Biscoito salgado","AC"
"199.19190979003906","6.278196334838867","Biscoito salgado","AC"
"209.20199584960938","6.273962497711182","Biscoito salgado","AC"
"219.21209716796875","6.269725799560547","Biscoito salgado","AC"
"229.22219848632812","6.265491962432861","Biscoito salgado","AC"
"239.23228454589844","6.261256217956543","Biscoito salgado","AC"
"249.2423858642578","6.257022857666016","Biscoito salgado","AC"
"259.25250244140625","6.2527875900268555","Biscoito salgado","AC"
"269.2626037597656","6.2485527992248535","Biscoito salgado","AC"
"279.272705078125","6.244318008422852","Biscoito salgado","AC"
"289.2828063964844","6.240083694458008","Biscoito salgado","AC"
"299.2929382324219","6.235849380493164","Biscoito salgado","AC"
"309.30303955078125","6.231616973876953","Biscoito salgado","AC"
"319.3131408691406","6.227380275726318","Biscoito salgado","AC"
"329.3232727050781","6.22314453125","Biscoito salgado","AC"
"339.3333740234375","6.218909740447998","Biscoito salgado","AC"
"349.3434753417969","6.214676856994629","Biscoito salgado","AC"
"359.3536071777344","6.210442543029785","Biscoito salgado","AC"
"369.36370849609375","6.206208229064941","Biscoito salgado","AC"
"379.3738098144531","6.201974391937256","Biscoito salgado","AC"
"389.3839416503906","6.197739124298096","Biscoito salgado","AC"
"399.39404296875","6.193504333496094","Biscoito salgado","AC"
"409.4041442871094","6.189267158508301","Biscoito salgado","AC"
"419.4142761230469","6.18503475189209","Biscoito salgado","AC"
"429.42437744140625","6.180802345275879","Biscoito salgado","AC"
"439.4344787597656","6.1765666007995605","Biscoito salgado","AC"
"449.4446105957031","6.172332763671875","Biscoito salgado","AC"
"459.4547119140625","6.1680989265441895","Biscoito salgado","AC"
"469.4648132324219","6.1638641357421875","Biscoito salgado","AC"
"479.47491455078125","6.159629821777344","Biscoito salgado","AC"
"489.48504638671875","6.155395030975342","Biscoito salgado","AC"
"499.4951477050781","6.151159286499023","Biscoito salgado","AC"
"509.5052490234375","6.146925449371338","Biscoito salgado","AC"
"519.515380859375","6.142692565917969","Biscoito salgado","AC"
"529.5255126953125","6.138458251953125","Biscoito salgado","AC"
"539.5355834960938","6.134223937988281","Biscoito salgado","AC"
"549.5457153320312","6.1299896240234375","Biscoito salgado","AC"
"559.5558471679688","6.12575626373291","Biscoito salgado","AC"
"569.56591796875","6.121522903442383","Biscoito salgado","AC"
"579.5760498046875","6.117288589477539","Biscoito salgado","AC"
"589.586181640625","6.113054275512695","Biscoito salgado","AC"
"599.5962524414062","6.108819961547852","Biscoito salgado","AC"
"609.6063842773438","6.104586601257324","Biscoito salgado","AC"
"619.616455078125","6.100352764129639","Biscoito salgado","AC"
"629.6265869140625","6.09611701965332","Biscoito salgado","AC"
"639.63671875","6.091882705688477","Biscoito salgado","AC"
"649.6467895507812","6.087650299072266","Biscoito salgado","AC"
"659.6569213867188","6.0834197998046875","Biscoito salgado","AC"
"669.6670532226562","6.079183578491211","Biscoito salgado","AC"
"679.6771240234375","6.074950218200684","Biscoito salgado","AC"
"689.687255859375","6.070714473724365","Biscoito salgado","AC"
"699.6973876953125","6.066481113433838","Biscoito salgado","AC"
"709.7074584960938","6.062248229980469","Biscoito salgado","AC"
"719.7175903320312","6.058014392852783","Biscoito salgado","AC"
"729.7277221679688","6.053780555725098","Biscoito salgado","AC"
"739.73779296875","6.049546241760254","Biscoito salgado","AC"
"749.7479248046875","6.045313835144043","Biscoito salgado","AC"
"759.758056640625","6.04108190536499","Biscoito salgado","AC"
"769.7681274414062","6.036846160888672","Biscoito salgado","AC"
"779.7782592773438","6.032614707946777","Biscoito salgado","AC"
"789.7883911132812","6.02838134765625","Biscoito salgado","AC"
"799.7984619140625","6.024148464202881","Biscoito salgado","AC"
"809.80859375","6.019914627075195","Biscoito salgado","AC"
"819.8187255859375","6.015682220458984","Biscoito salgado","AC"
"829.8287963867188","6.011448383331299","Biscoito salgado","AC"
"839.8389282226562","6.0072174072265625","Biscoito salgado","AC"
"849.8490600585938","6.0029826164245605","Biscoito salgado","AC"
"859.859130859375","5.998748779296875","Biscoito salgado","AC"
"869.8692626953125","5.994516372680664","Biscoito salgado","AC"
"879.87939453125","5.9902849197387695","Biscoito salgado","AC"
"889.8894653320312","5.986051559448242","Biscoito salgado","AC"
"899.8995971679688","5.981819152832031","Biscoito salgado","AC"
"909.9097290039062","5.977585792541504","Biscoito salgado","AC"
"919.9197998046875","5.973354339599609","Biscoito salgado","AC"
"929.929931640625","5.969120979309082","Biscoito salgado","AC"
"939.9400634765625","5.964888572692871","Biscoito salgado","AC"
"949.9501342773438","5.96065616607666","Biscoito salgado","AC"
"959.9602661132812","5.956423759460449","Biscoito salgado","AC"
"969.9703979492188","5.952190399169922","Biscoito salgado","AC"
"979.98046875","5.947958946228027","Biscoito salgado","AC"
"989.9906005859375","5.943727493286133","Biscoito salgado","AC"
"1000.000732421875","5.9394941329956055","Biscoito salgado","AC"
