"quantidade","valor_unitario","produto","uf"
"5","2.8874666690826416","Açucar","AC"
"6.363636493682861","2.8877673149108887","Açucar","AC"
"7.727272987365723","2.8880677223205566","Açucar","AC"
"9.090909004211426","2.888368606567383","Açucar","AC"
"10.454545974731445","2.888669013977051","Açucar","AC"
"11.818181991577148","2.8889689445495605","Açucar","AC"
"13.181818008422852","2.8892691135406494","Açucar","AC"
"14.545454025268555","2.889568328857422","Açucar","AC"
"15.909090995788574","2.8898684978485107","Açucar","AC"
"17.272727966308594","2.8901681900024414","Açucar","AC"
"18.636363983154297","2.8904669284820557","Açucar","AC"
"20","2.89076566696167","Açucar","AC"
"21.363637924194336","2.8910651206970215","Açucar","AC"
"22.72727394104004","2.8913633823394775","Açucar","AC"
"24.090909957885742","2.891662120819092","Açucar","AC"
"25.454545974731445","2.891960382461548","Açucar","AC"
"26.81818199157715","2.892258405685425","Açucar","AC"
"28.18181800842285","2.8925564289093018","Açucar","AC"
"29.545454025268555","2.8928544521331787","Açucar","AC"
"30.909088134765625","2.89315128326416","Açucar","AC"
"32.27272415161133","2.893449306488037","Açucar","AC"
"33.63636016845703","2.8937466144561768","Açucar","AC"
"34.999996185302734","2.894043445587158","Açucar","AC"
"36.36363220214844","2.8943405151367188","Açucar","AC"
"37.72726821899414","2.894637107849121","Açucar","AC"
"39.090904235839844","2.8949339389801025","Açucar","AC"
"40.45454025268555","2.895230531692505","Açucar","AC"
"41.818180084228516","2.895526647567749","Açucar","AC"
"43.18181610107422","2.8958232402801514","Açucar","AC"
"44.54545593261719","2.896118640899658","Açucar","AC"
"45.90909194946289","2.896414279937744","Açucar","AC"
"47.272727966308594","2.8967103958129883","Açucar","AC"
"48.63636779785156","2.897005558013916","Açucar","AC"
"50.000003814697266","2.897300958633423","Açucar","AC"
"51.363643646240234","2.8975961208343506","Açucar","AC"
"52.72727966308594","2.8978912830352783","Açucar","AC"
"54.090919494628906","2.898186206817627","Açucar","AC"
"55.45455551147461","2.8984808921813965","Açucar","AC"
"56.81819534301758","2.898775339126587","Açucar","AC"
"58.18183135986328","2.8990700244903564","Açucar","AC"
"59.54547119140625","2.899364471435547","Açucar","AC"
"60.90910720825195","2.899658679962158","Açucar","AC"
"62.272743225097656","2.8999524116516113","Açucar","AC"
"63.636383056640625","2.9002466201782227","Açucar","AC"
"65.00001525878906","2.9005398750305176","Açucar","AC"
"66.36366271972656","2.9008336067199707","Açucar","AC"
"67.727294921875","2.901127338409424","Açucar","AC"
"69.09093475341797","2.9014203548431396","Açucar","AC"
"70.45457458496094","2.9017138481140137","Açucar","AC"
"71.81820678710938","2.9020066261291504","Açucar","AC"
"73.18184661865234","2.9022998809814453","Açucar","AC"
"74.54548645019531","2.902592658996582","Açucar","AC"
"75.90912628173828","2.902885675430298","Açucar","AC"
"77.27275848388672","2.9031779766082764","Açucar","AC"
"78.63639831542969","2.903470754623413","Açucar","AC"
"80.00003814697266","2.9037628173828125","Açucar","AC"
"81.3636703491211","2.904055118560791","Açucar","AC"
"82.72731018066406","2.9043467044830322","Açucar","AC"
"84.09095001220703","2.90463924407959","Açucar","AC"
"85.45458984375","2.90493106842041","Açucar","AC"
"86.81822204589844","2.9052228927612305","Açucar","AC"
"88.1818618774414","2.905514717102051","Açucar","AC"
"89.54550170898438","2.905806303024292","Açucar","AC"
"90.90913391113281","2.906097650527954","Açucar","AC"
"92.27277374267578","2.906388759613037","Açucar","AC"
"93.63641357421875","2.906680107116699","Açucar","AC"
"95.00005340576172","2.9069712162017822","Açucar","AC"
"96.36368560791016","2.907262086868286","Açucar","AC"
"97.72732543945312","2.9075534343719482","Açucar","AC"
"99.0909652709961","2.907843828201294","Açucar","AC"
"100.45460510253906","2.908134698867798","Açucar","AC"
"101.8182373046875","2.9084250926971436","Açucar","AC"
"103.18187713623047","2.9087159633636475","Açucar","AC"
"104.54551696777344","2.9090065956115723","Açucar","AC"
"105.90914916992188","2.909296989440918","Açucar","AC"
"107.27278900146484","2.9095871448516846","Açucar","AC"
"108.63642883300781","2.909877061843872","Açucar","AC"
"110.00006866455078","2.9101672172546387","Açucar","AC"
"111.36370086669922","2.9104573726654053","Açucar","AC"
"112.72734069824219","2.9107470512390137","Açucar","AC"
"114.09098052978516","2.9110372066497803","Açucar","AC"
"115.45462036132812","2.9113264083862305","Açucar","AC"
"116.81825256347656","2.911616325378418","Açucar","AC"
"118.18189239501953","2.9119057655334473","Açucar","AC"
"119.5455322265625","2.9121954441070557","Açucar","AC"
"120.90916442871094","2.912484645843506","Açucar","AC"
"122.2728042602539","2.912773847579956","Açucar","AC"
"123.63644409179688","2.9130635261535645","Açucar","AC"
"125.00008392333984","2.9133524894714355","Açucar","AC"
"126.36371612548828","2.9136416912078857","Açucar","AC"
"127.72735595703125","2.913930892944336","Açucar","AC"
"129.09100341796875","2.914219856262207","Açucar","AC"
"130.4546356201172","2.91450834274292","Açucar","AC"
"131.81826782226562","2.914797782897949","Açucar","AC"
"133.18191528320312","2.915086269378662","Açucar","AC"
"134.54554748535156","2.915374994277954","Açucar","AC"
"135.9091796875","2.915663480758667","Açucar","AC"
"137.2728271484375","2.915952205657959","Açucar","AC"
"138.63645935058594","2.916240930557251","Açucar","AC"
"140.00009155273438","2.916529417037964","Açucar","AC"
