Ano,UF,Município,Entidade Executora,Agricultura Familiar,Orgânico,Produto,Documento Despesa,Unidade Medida,Quantidade Comprada,Valor Unitário R$,Valor Total R$
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Açúcar,000000360,QUILO,300,4,1200
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Banana,00003,QUILO,400,2.13,852
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Banana,00002,QUILO,800,1.8,1440
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Banana,00002,QUILO,750,2.13,1597.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Banana,00003,QUILO,400,1.8,720
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito doce,3449,GRAMA,950,3,2850
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito doce,3431,GRAMA,950,3,2850
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito doce,3427,GRAMA,950,3,2850
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito doce,000000360,GRAMA,600,3,1800
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito doce,000000303,GRAMA,800,3,2400
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Biscoito doce, integral",000310,GRAMA,1470,3,4410
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito salgado,000000303,GRAMA,800,2.5,2000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito salgado,000310,GRAMA,950,3,2850
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito salgado,3427,GRAMA,950,2.5,2375
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito salgado,3431,GRAMA,950,2.5,2375
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Biscoito salgado,3446,GRAMA,950,3,2850
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Biscoito salgado, integral",000000303,GRAMA,800,3,2400
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",000000307,QUILO,200,18,3600
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",3422,QUILO,430,18,7740
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 1ª, resfriada/congelada",000000360,QUILO,350,18,6300
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",3422,QUILO,300,15,4500
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",000000360,QUILO,600,15,9000
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,"Carne bovina de 2ª, resfriada/congelada",000000307,QUILO,500,15,7500
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Carne seca/Charque/Jerked beef,3424,QUILO,40,10,400
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Carne seca/Charque/Jerked beef,3432,GRAMA,50,10,500
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Carne seca/Charque/Jerked beef,000000303,QUILO,50,10,500
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Cebola,000310,QUILO,30,3,90
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,NÃO,NÃO,Cereais de flocos de milho,3422,GRAMA,140,4,560
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00003,MAÇO,301,1.3,391.3
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00003,MAÇO,265,1.3,344.5
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00002,MAÇO,309,1.3,401.7
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00001,MAÇO,169,1.3,219.7
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00008,MAÇO,343,1.3,445.9
 2017,AC,ACRELANDIA,PREF MUN DE ACRELANDIA,SIM,NÃO,Cheiro verde,00006,MAÇO,440,1.3,572
